Branch_id,branch_name,Address,latitude,longitude
135,לשכת קרית שמונה,"הרצל 37, קרית שמונה",33.2059,35.5713
139,לשכת טבריה,"יהודה הלוי 1, טבריה",32.787,35.525
309,לשכת דיר אל אסד,"7026, דיר אל אסד",32.9684,35.1565
201,לשכת מעלות תרשיחא,"בן גוריון 1, מעלות תרשיחא",33.006,35.256
56,לשכת עכו,"שלום הגליל 1, קניון עכו, עכו",32.9196,35.0937
127,לשכת כרמיאל,"מורד הגיא 100, כרמיאל",32.9176,35.3002
294,לשכת קצרין,"מרכז מסחרי איתן, קצרין",32.9316,35.5577
123,לשכת צפת,"חיים וייצמן 4, צפת",32.9653,35.4931
197,לשכת סח'נין,"ג'ליל 186, עיריית סח'נין, סח'נין",32.9005,35.2903
88,לשכת נוף הגליל (דרך קריית הממשלה 2),"דרך קריית הממשלה 2, נוף הגליל",32.9134,35.2891
163,לשכת נהריה,"אירית 2, נהריה",33.0057,35.0996
118,לשכת אילת,"שדרות התמרים 2, אילת",29.5577,34.9519
155,לשכת רהט,"עומר אלמוכתאר, רהט",31.4061,34.8121
272,לשכת יקנעם,"התמר 2, יקנעם",32.6707,35.2723
44,לשכת פתח תקוה (מוטה גור 4),"מוטה גור 4, פתח תקווה",32.0903,34.8878
83,לשכת עפולה,"יהושע חנקין 1, עפולה",32.6051,35.294
322,לשכת שער בנימין,"אזור תעשיה שער בנימין, שער בנימין",31.8208,35.2329
260,לשכת קריות,"דרך חיפה 30, קניון שער הצפון, קרית אתא",32.7923,35.0843
277,לשכת שדרות,"מנחם בגין 4, מתחם אבני החושן, שדרות",31.5241,34.5928
327,לשכת ביתר עילית,"רבי נחמן מברסלב 2, בית&quot;ר עילית",31.6239,35.0981
19,לשכת באר שבע,"התקווה 4, קניון קריית הממשלה, באר שבע",31.2585,34.7913
39,לשכת ירושלים (שלומציון המלכה 1),"שלומציון המלכה 1, ירושלים",31.7833,35.2333
168,לשכת דימונה,"מד המעפילים 25, דימונה",31.069,35.0365
177,לשכת נתיבות,"בעלי המלאכה 3, נתיבות",31.4204,34.6
245,לשכת מעלה אדומים,"דרך קדם 5, מעלה אדומים",31.7997,35.2615
159,לשכת ירושלים דרום (הר חומה),"אליהו קורן 25, ירושלים דרום",31.736,35.2045
151,לשכת בית שמש,"אבא נעמת 1, בית שמש",31.747,35.2037
193,לשכת מבשרת ציון,"שדרות החוצבים 6, מבשרת ציון",31.7419,35.0724
74,לשכת אשקלון,"ברל כצנלסון 9, אשקלון",31.666,34.5709
315,לשכת אום אל פחם,"מדינה סנטר, אום אל פחם",32.5115,35.1883
304,לשכת צור באהר صور باهر,"אלמדינה אלמנורה 257, ירושלים",31.7767,35.2345
287,לשכת אריאל,"יהודה 5, אריאל",32.1053,35.2043
282,לשכת קרית גת,"כיכר פז 3, קרית גת",31.5902,34.7585
266,לשכת קלנדיה قلنديا,"מעבר קלנדיה, קלנדיה",31.8216,35.1926
255,לשכת טייבה,"אלבלדיה, טייבה",32.3146,35.0641
205,לשכת מודיעין עילית,"שערי תשובה 31, מודיעין עילית (מרכז חזון)",31.8969,35.0111
172,לשכת ראש העין,"הרב שלום שבזי 29, ראש העין",32.0908,34.9515
147,לשכת מודיעין-מכבים-רעות,"תלתן 1 עיריית מודיעין, מודיעין",31.8992,35.0099
143,לשכת יפו (תא דרום),"דרך שלמה 53, תל אביב יפו",32.0671,34.7893
131,לשכת הרצליה (ברקת 11),"ברקת 11, הרצליה",32.1683,34.8396
113,לשכת חדרה,"דוד שמעוני 42, חדרה",32.4344,34.9193
108,לשכת אשדוד,"שדרות מנחם בגין 1, אשדוד",31.8017,34.646
103,לשכת בני ברק (מגדל מניבים),"זאב ז'בוטינסקי 168, בני ברק",32.0863,34.8407
98,לשכת מזרח ירושלים شرق القدس,"ואדי אל ג'וז 49, ירושלים",31.7825,35.2415
93,לשכת ראשון לציון,"ישראל גלילי 3, ראשון לציון",31.9642,34.8046
78,לשכת רחובות (מוטי קינד 10),"מוטי קינד 10, רחובות",31.8931,34.8077
69,לשכת כפר סבא,"וייצמן 140, כפר סבא",32.1851,34.9064
65,לשכת חולון,"הסדן 8, קומה 4, חולון",32.0163,34.7745
61,לשכת רמלה,"שדרות הרצל 91, רמלה",31.9277,34.8686
48,לשכת נתניה,"שד' בן צבי 18, נתניה",32.321,34.8536
29,לשכת תל אביב (קריית הממשלה),"דרך מנחם בגין 125, קריית הממשלה, תל אביב",32.0565,34.7967
24,לשכת חיפה,"שדרות הפלים 15, חיפה",32.8116,34.9889
9,לשכת רמת גן גבעתיים,"ביאליק 2, רמת גן",32.0728,34.8283
